bk,series,model,mounting,accessory,fmt,filename,path,rev,source,source_file,source_date,bytes,sha1,status,notes
AKHG140300,AKHG,AKHG 140-300,FF,,PDF,AKHG-140-300-FF.pdf,AKHG/AKHG-140-300-FF.pdf,A,existing,CB:AKHG-140-300-FF.PDF,2024-07-18,49406,1d92c00a98b904b8ec63d25bd69d2587fd5882ca,ok,
AKHG140300,AKHG,AKHG 140-300,FS,,PDF,AKHG-140-300-FS.pdf,AKHG/AKHG-140-300-FS.pdf,A,generated,generated from catalogue,2026-09-18,88596,,generated,
AKHG140300,AKHG,AKHG 140-300,RS,,PDF,AKHG-140-300-RS.pdf,AKHG/AKHG-140-300-RS.pdf,A,generated,generated from catalogue,2026-09-18,88484,,generated,
AKHG140400,AKHG,AKHG 140-400,FS,,PDF,AKHG-140-400-FS.pdf,AKHG/AKHG-140-400-FS.pdf,A,generated,generated from catalogue,2026-09-18,88596,,generated,
AKHG140400,AKHG,AKHG 140-400,RS,,PDF,AKHG-140-400-RS.pdf,AKHG/AKHG-140-400-RS.pdf,A,generated,generated from catalogue,2026-09-18,88484,,generated,
AKHG140500,AKHG,AKHG 140-500,FS,,PDF,AKHG-140-500-FS.pdf,AKHG/AKHG-140-500-FS.pdf,A,generated,generated from catalogue,2026-09-18,88580,,generated,
AKHG140500,AKHG,AKHG 140-500,RS,,PDF,AKHG-140-500-RS.pdf,AKHG/AKHG-140-500-RS.pdf,A,generated,generated from catalogue,2026-09-18,88500,,generated,
AKHG140600,AKHG,AKHG 140-600,,,PDF,AKHG-140-600.pdf,AKHG/AKHG-140-600.pdf,A,existing,CB:AKHG140-600-FRONT MOUNT.PDF,2024-06-09,49420,4cfb04aa48fc580b6c8697d0eb23abc6fb72ec67,ok,
AKHG140600,AKHG,AKHG 140-600,FS,,PDF,AKHG-140-600-FS.pdf,AKHG/AKHG-140-600-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
AKHG140600,AKHG,AKHG 140-600,RS,,PDF,AKHG-140-600-RS.pdf,AKHG/AKHG-140-600-RS.pdf,A,generated,generated from catalogue,2026-09-18,88532,,generated,
AKHG140800,AKHG,AKHG 140-800,FS,,PDF,AKHG-140-800-FS.pdf,AKHG/AKHG-140-800-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
